Job Title,Industry,AI Impact,Tasks,AI models,AI_Workload_Ratio,Required Education,Median Salary (USD),Expected Openings (2030),AI Impact Original,Experience Required (Years),Automation Risk (%)
Lead Pharmacy Technician,Information Technology,25,194,1534,0.126466754,Master's Degree,80000,1621,25%,2,21.98
Marine Engineer,Information Technology,25,220,1668,0.131894484,Bachelor's Degree,78000,1819,25%,3,22.88
Materials Engineer,Information Technology,25,445,1345,0.330855019,Bachelor's Degree,78000,1948,25%,3,26.97
Mechanical Project Engineer,Information Technology,25,463,1361,0.340191036,Bachelor's Degree,78000,1741,25%,3,27.38
Packaging Engineer,Information Technology,25,518,1750,0.296,Bachelor's Degree,78000,1881,25%,3,29.11
Performance Engineer,Information Technology,25,479,1384,0.346098266,Bachelor's Degree,78000,1747,25%,3,27.75
Product Development Engineer,Information Technology,25,497,1399,0.355253753,Bachelor's Degree,78000,1763,25%,3,28.16
Reliability Engineer,Information Technology,25,460,1373,0.335032775,Bachelor's Degree,78000,1743,25%,3,27.33
Senior Process Engineer,Information Technology,25,482,1417,0.340155258,Bachelor's Degree,78000,1753,25%,3,27.85
Senior Project Engineer,Information Technology,25,483,1415,0.341342756,Bachelor's Degree,78000,1945,25%,3,27.87
Senior Structural Engineer,Information Technology,25,476,1400,0.34,Bachelor's Degree,78000,1948,25%,3,27.71
Shift Engineer,Information Technology,25,339,1086,0.312154696,Bachelor's Degree,78000,1880,25%,3,24.34
Video Engineer,Information Technology,25,711,2095,0.339379475,Bachelor's Degree,78000,1790,25%,3,33.54
Welding Supervisor,General Business,25,234,821,0.28501827,High School Diploma,35000,996,25%,5,21.62
Account Representative,Finance & Banking,25,211,1581,0.133459836,High School Diploma,35000,1189,25%,3,22.46
Area Supervisor,General Business,25,217,1508,0.143899204,High School Diploma,35000,1072,25%,5,22.39
Assistant Facility Manager,Information Technology,25,231,1547,0.149321267,Master's Degree,120000,1783,25%,0,22.78
Business Support,General Business,25,269,1795,0.149860724,High School Diploma,35000,977,25%,2,24.21
Counter Manager,General Business,25,170,1337,0.127150337,Master's Degree,120000,1182,25%,5,20.94
Facilitator,Information Technology,25,287,2002,0.143356643,High School Diploma,35000,1492,25%,3,25.14
Facilities Management,Information Technology,25,261,1856,0.140625,High School Diploma,35000,1515,25%,3,24.22
Master Scheduler,General Business,25,491,1471,0.33378654,High School Diploma,35000,912,25%,3,28.11
Office Support,Administrative & Office Support,25,615,1612,0.381513648,High School Diploma,35000,992,25%,2,30.87
Program Officer,Administrative & Office Support,25,722,1874,0.385272145,Master's Degree,120000,1031,25%,8,33.38
Program Specialist,General Business,25,737,1916,0.384655532,Bachelor's Degree,78000,1313,25%,2,33.74
Recovery Specialist,General Business,25,569,1670,0.340718563,Bachelor's Degree,78000,1239,25%,2,30.01
Retention Specialist,General Business,25,551,1584,0.347853535,Bachelor's Degree,78000,1215,25%,2,29.51
Senior Administrative Assistant,Administrative & Office Support,25,546,1705,0.320234604,Associate Degree,40500,1136,25%,0,29.59
Study Coordinator,General Business,25,588,1705,0.344868035,High School Diploma,35000,919,25%,5,30.45
Team Coordinator,General Business,25,598,1775,0.336901408,High School Diploma,35000,1041,25%,5,30.76
Freight Associate,General Business,25,214,1722,0.1242741,High School Diploma,35000,940,25%,3,22.91
Freight Coordinator,General Business,25,246,1828,0.134573304,High School Diploma,35000,1075,25%,5,23.85
Loader,General Business,25,108,908,0.118942731,High School Diploma,35000,986,25%,3,18.45
Mover,General Business,25,165,625,0.264,High School Diploma,35000,953,25%,3,19.73
Parts Runner,General Business,25,205,681,0.3010279,High School Diploma,35000,991,25%,3,20.87
Transportation Inspector,General Business,25,257,921,0.279044517,High School Diploma,35000,1006,25%,3,22.25
Banquet Chef,General Business,25,131,1071,0.122315593,High School Diploma,35000,986,25%,3,19.39
Beverage Manager,General Business,25,166,1278,0.129890454,Master's Degree,120000,1156,25%,5,20.7
Casino,General Business,25,145,1133,0.127978817,High School Diploma,35000,1040,25%,3,19.87
Casino Host,General Business,25,183,1397,0.130994989,High School Diploma,35000,1099,25%,3,21.38
Catering Chef,General Business,25,137,1079,0.126969416,High School Diploma,35000,926,25%,3,19.55
Chef De Cuisine,General Business,25,132,1016,0.12992126,High School Diploma,35000,949,25%,3,19.29
Chef De Partie,General Business,25,134,1050,0.127619048,High School Diploma,35000,941,25%,3,19.41
Crew Chief,General Business,25,109,879,0.124004551,Master's Degree,120000,1028,25%,8,18.41
Dining Room Manager,General Business,25,175,1342,0.130402385,Master's Degree,120000,1026,25%,5,21.06
Executive Housekeeper,General Business,25,201,1261,0.159397304,Master's Degree,120000,1092,25%,8,21.44
Food Prep,General Business,25,129,1314,0.098173516,High School Diploma,35000,970,25%,3,19.98
Food Service Supervisor,General Business,25,195,1337,0.145848915,High School Diploma,35000,994,25%,5,21.49
Food Service Worker,General Business,25,154,1144,0.134615385,High School Diploma,35000,1030,25%,3,20.1
Food Worker,General Business,25,109,864,0.126157407,High School Diploma,35000,991,25%,3,18.38
Houseperson,General Business,25,92,844,0.109004739,High School Diploma,35000,1058,25%,3,17.9
Kitchen Assistant,Information Technology,25,95,1082,0.08780037,Associate Degree,40500,1571,25%,0,18.57
Kitchen Staff,Information Technology,25,96,792,0.121212121,High School Diploma,35000,1350,25%,3,17.89
Kitchen Steward,Information Technology,25,92,725,0.126896552,High School Diploma,35000,1598,25%,3,17.65
Warehouse Technician,Information Technology,25,390,1182,0.329949239,Associate Degree,40500,1728,25%,2,25.6
Environmental Consultant,General Business,25,229,1840,0.124456522,Master's Degree,80000,1010,25%,3,23.54
Organizational Development Consultant,General Business,25,741,2138,0.346585594,Master's Degree,80000,1118,25%,3,34.2
Service Consultant,General Business,25,601,1719,0.349621873,Master's Degree,80000,1126,25%,3,30.73
Call Center Agent,General Business,25,296,1897,0.156035846,High School Diploma,35000,1015,25%,3,25.02
Call Center Operator,Manufacturing & Labor,25,296,1897,0.156035846,Associate Degree,40500,798,25%,2,25.02
Collections Agent,General Business,25,265,1744,0.151949541,High School Diploma,35000,1015,25%,3,24
Customer Support Manager,Sales & Marketing,25,281,1747,0.160847167,Master's Degree,120000,1149,25%,2,24.33
Customer Support Representative,Sales & Marketing,25,313,1911,0.163788592,High School Diploma,35000,1029,25%,2,25.4
Solutions Engineer,Information Technology,25,904,2370,0.381434599,Bachelor's Degree,78000,1924,25%,3,37.72
Advertising Sales,Sales & Marketing,25,240,1570,0.152866242,High School Diploma,35000,1071,25%,3,23.03
Commercial Manager,General Business,25,264,1735,0.152161383,Master's Degree,120000,1118,25%,5,23.95
Community Manager,Information Technology,25,335,1928,0.173755187,Master's Degree,120000,1627,25%,5,25.87
Digital Producer,Information Technology,25,373,2471,0.150951032,High School Diploma,35000,1376,25%,3,28.11
Lead Generator,General Business,25,479,2883,0.166146375,Master's Degree,80000,1126,25%,5,31.24
Marketing Associate,Sales & Marketing,25,586,3251,0.18025223,High School Diploma,35000,1016,25%,3,34.23
Marketing Communications,Sales & Marketing,25,581,3233,0.179709248,High School Diploma,35000,1197,25%,3,34.09
Marketing Communications Manager,Sales & Marketing,25,578,3227,0.179113728,Master's Degree,120000,1169,25%,5,34.02
Marketing Communications Specialist,Sales & Marketing,25,586,3251,0.18025223,Bachelor's Degree,78000,1339,25%,2,34.23
Marketing Engineer,Information Technology,25,590,3260,0.180981595,Bachelor's Degree,78000,1857,25%,3,34.32
Media Director,General Business,25,770,2159,0.356646596,Master's Degree,120000,1022,25%,8,34.79
Media Planner,Architecture & Engineering,25,813,2673,0.304152637,High School Diploma,35000,1071,25%,3,36.7
Print Production Manager,General Business,25,701,2336,0.300085616,Master's Degree,120000,1111,25%,5,33.85
Social Media Director,General Business,25,1009,3039,0.332017111,Master's Degree,120000,1175,25%,8,41.1
Wedding Planner,Architecture & Engineering,25,787,2506,0.314046289,High School Diploma,35000,1064,25%,3,35.83
Product Coordinator,General Business,25,749,2026,0.369693978,High School Diploma,35000,1047,25%,5,34.15
Project Assistant,Administrative & Office Support,25,817,2252,0.362788632,Associate Degree,40500,1051,25%,0,35.86
Bakery Clerk,Administrative & Office Support,25,138,1207,0.114333057,High School Diploma,31500,967,25%,0,19.89
Bench Jeweler,General Business,25,95,766,0.124020888,High School Diploma,35000,1037,25%,3,17.81
Grocery Stocker,General Business,25,147,1023,0.143695015,High School Diploma,35000,1078,25%,3,19.67
Merchandiser,General Business,25,658,1759,0.37407618,High School Diploma,35000,1093,25%,3,31.94
Retail Consultant,General Business,25,655,1808,0.362278761,Master's Degree,80000,1084,25%,3,31.95
Retail Merchandiser,General Business,25,604,1578,0.382762991,High School Diploma,35000,973,25%,3,30.61
Retail Sales,Sales & Marketing,25,572,1448,0.395027624,High School Diploma,35000,1118,25%,3,29.81
Retail Sales Associate,Sales & Marketing,25,561,1422,0.394514768,High School Diploma,35000,1151,25%,3,29.55
Retail Sales Manager,Sales & Marketing,25,649,1685,0.385163205,Master's Degree,120000,1285,25%,5,31.66
Retail Salesperson,Sales & Marketing,25,558,1409,0.39602555,High School Diploma,35000,1030,25%,3,29.48
Retail Specialist,General Business,25,586,1618,0.362175525,Bachelor's Degree,78000,1249,25%,2,30.28
Sales Merchandiser,Sales & Marketing,25,591,1562,0.378361076,High School Diploma,35000,1152,25%,3,30.32
Stocker,General Business,25,285,1041,0.273775216,High School Diploma,35000,916,25%,3,23.02
Visual Merchandising Manager,General Business,25,760,2277,0.333772508,Master's Degree,120000,1133,25%,5,34.83
Boilermaker,General Business,25,59,495,0.119191919,High School Diploma,35000,964,25%,3,16.29
Construction Consultant,General Business,25,206,1450,0.142068966,Master's Degree,80000,1113,25%,3,22.01
Elevator Mechanic,General Business,25,58,490,0.118367347,High School Diploma,35000,992,25%,3,16.25
Home Builder,General Business,25,199,1646,0.120899149,High School Diploma,35000,973,25%,3,22.39
Pipe Fitter,Information Technology,25,232,879,0.263936291,High School Diploma,35000,1357,25%,3,21.59
Insurance Verification Specialist,Insurance,25,292,2021,0.144482929,Bachelor's Degree,78000,1092,25%,2,25.29
Lead Engineer,Information Technology,25,291,1884,0.154458599,Master's Degree,104000,1675,25%,3,24.89
Lead Software Engineer,Information Technology,25,287,1861,0.154218162,Master's Degree,104000,1681,25%,3,24.75
Python Developer,Information Technology,25,541,1469,0.36827774,Bachelor's Degree,78000,1963,25%,2,29.17
Senior Software Developer,Information Technology,25,952,2436,0.390804598,Bachelor's Degree,78000,1787,25%,2,38.73
Senior Software Engineer,Information Technology,25,950,2434,0.390304026,Bachelor's Degree,78000,1847,25%,3,38.69
Software Developer,Information Technology,25,946,2429,0.389460683,Bachelor's Degree,78000,1929,25%,2,38.61
Web Architect,Information Technology,25,1067,2752,0.387718023,Bachelor's Degree,78000,1811,25%,3,41.48
Business Intelligence Manager,Public Safety & Government,25,235,1554,0.151222651,Master's Degree,120000,916,25%,5,22.89
Business Process Analyst,Finance & Banking,25,261,2008,0.12998008,Doctorate / PhD,130000,921,25%,3,24.65
Erp Consultant,General Business,25,270,1842,0.146579805,Master's Degree,80000,1104,25%,3,24.36
Microstrategy Developer,Information Technology,25,533,1457,0.365820178,Bachelor's Degree,78000,1730,25%,2,28.99
Research Manager,General Business,25,994,2806,0.354240912,Master's Degree,120000,1083,25%,5,40.28
Researcher,General Business,25,1028,2939,0.349778836,Doctorate / PhD,100000,821,25%,6,41.2
Senior Analyst,Finance & Banking,25,809,2272,0.356073944,Doctorate / PhD,130000,915,25%,3,35.75
Server Administrator,Administrative & Office Support,25,884,2331,0.379236379,Bachelor's Degree,60000,1270,25%,3,37.27
3D Designer,Architecture & Engineering,25,272,1956,0.139059305,Bachelor's Degree,60000,1278,25%,3,24.72
Junior Designer,Architecture & Engineering,25,390,2388,0.163316583,Bachelor's Degree,60000,1219,25%,0,28.19
Senior Designer,Architecture & Engineering,25,907,2523,0.359492667,Bachelor's Degree,60000,1096,25%,3,38.08
Benefits Specialist,Information Technology,25,217,1444,0.150277008,Bachelor's Degree,78000,1910,25%,2,22.23
Driver Recruiter,Information Technology,25,175,1148,0.152439024,High School Diploma,31500,1640,25%,3,20.6
Hr Generalist,General Business,25,368,2189,0.168113294,High School Diploma,35000,947,25%,3,27.21
Human Resources Business Partner,General Business,25,366,2234,0.163831692,High School Diploma,35000,987,25%,3,27.3
Human Resources Executive,General Business,25,355,2093,0.169612996,Master's Degree,120000,1019,25%,8,26.7
Human Resources Generalist,General Business,25,371,2244,0.165329768,High School Diploma,35000,1001,25%,3,27.42
Medical Recruiter,Information Technology,25,800,2214,0.361336947,Associate Degree,45000,1789,25%,3,35.46
Payroll Manager,General Business,25,688,2069,0.332527791,Master's Degree,120000,1119,25%,5,33.05
Workforce Manager,General Business,25,617,1757,0.351166762,Master's Degree,120000,1112,25%,5,31.11
Digital Court Reporter,Information Technology,25,200,1330,0.15037594,High School Diploma,35000,1354,25%,3,21.58
Legal Administrator,Administrative & Office Support,25,285,1844,0.154555315,Bachelor's Degree,60000,1128,25%,3,24.66
Legal Clerk,Administrative & Office Support,25,275,1582,0.173830594,High School Diploma,31500,930,25%,0,23.79
Legal Editor,Information Technology,25,347,2167,0.160129211,High School Diploma,35000,1641,25%,3,26.75
Legal Officer,Administrative & Office Support,25,295,1961,0.150433452,Master's Degree,120000,1201,25%,8,25.18
Personal Injury Attorney,General Business,25,423,1288,0.328416149,High School Diploma,35000,1038,25%,3,26.43
Trial Attorney,General Business,25,377,1152,0.327256944,High School Diploma,35000,957,25%,3,25.28
Animal Control Officer,Administrative & Office Support,25,161,1239,0.129943503,Master's Degree,120000,1065,25%,8,20.49
Veterinary Assistant,Administrative & Office Support,25,285,898,0.317371938,Associate Degree,40500,1164,25%,0,22.95
Community Health Worker,Information Technology,25,227,1556,0.145886889,High School Diploma,35000,1622,25%,3,22.72
Community Liaison,Information Technology,25,246,1602,0.153558052,High School Diploma,35000,1610,25%,3,23.24
Family Advocate,General Business,25,295,2066,0.142787996,High School Diploma,35000,931,25%,3,25.47
Peer Support Specialist,General Business,25,524,1571,0.333545512,Bachelor's Degree,78000,1154,25%,2,28.94
Victim Advocate,General Business,25,462,1328,0.347891566,High School Diploma,35000,1091,25%,3,27.33
Recreation Specialist,General Business,25,607,1585,0.3829653,Bachelor's Degree,78000,1317,25%,2,30.68
Sports,General Business,25,575,1415,0.406360424,High School Diploma,35000,1006,25%,3,29.85
Apartment Leasing Agent,General Business,25,240,1595,0.150470219,High School Diploma,35000,988,25%,3,23.1
Apartment Property Manager,General Business,25,233,1537,0.151594014,Master's Degree,120000,1024,25%,5,22.8
Commercial Property Manager,General Business,25,224,1516,0.147757256,Master's Degree,120000,1185,25%,5,22.56
Housing Counselor,General Business,25,255,1802,0.141509434,High School Diploma,35000,913,25%,3,23.95
Leasing Agent,General Business,25,281,1933,0.145369891,High School Diploma,35000,1078,25%,3,24.83
Leasing Consultant,General Business,25,280,1933,0.144852561,Master's Degree,80000,1006,25%,3,24.81
Leasing Specialist,General Business,25,285,1943,0.146680391,Bachelor's Degree,78000,1246,25%,2,24.93
Regional Property Manager,General Business,25,627,1724,0.363689095,Master's Degree,120000,1066,25%,5,31.26
Security Guard,Information Technology,25,245,869,0.281933257,Certification / Professional,65000,1865,25%,3,21.92
Senior Planner,Architecture & Engineering,25,604,1618,0.373300371,High School Diploma,35000,1089,25%,3,30.65
Title Officer,Information Technology,25,532,1467,0.362644853,Master's Degree,120000,1589,25%,8,28.98
Transaction Coordinator,General Business,25,652,1836,0.355119826,High School Diploma,35000,983,25%,5,31.93
Certified Phlebotomy Technician,Information Technology,25,136,889,0.152980877,Associate Degree,45000,1528,25%,2,19.13
Clinical Technician,Information Technology,25,154,1236,0.124595469,Associate Degree,45000,1807,25%,2,20.33
Environmental Planner,Architecture & Engineering,25,268,1848,0.145021645,High School Diploma,35000,946,25%,3,24.34
Health Physicist,Healthcare,25,233,1701,0.136978248,High School Diploma,35000,1851,25%,3,23.23
Industrial Hygienist,General Business,25,241,1794,0.134336678,High School Diploma,35000,970,25%,3,23.65
Laboratory Manager,Manufacturing & Labor,25,277,1897,0.146020032,Master's Degree,120000,837,25%,5,24.65
Library Clerk,Administrative & Office Support,25,245,1394,0.175753228,High School Diploma,31500,999,25%,0,22.71
Meteorologist,General Business,25,320,1074,0.297951583,High School Diploma,35000,908,25%,3,23.88
Microbiology Technician,Information Technology,25,378,1223,0.309076043,Associate Degree,45000,1669,25%,2,25.36
Renewable Energy,General Business,25,348,1115,0.312107623,High School Diploma,35000,963,25%,3,24.57
Scientist,General Business,25,315,1068,0.29494382,Doctorate / PhD,130000,856,25%,6,23.76
Seismologist,General Business,25,268,988,0.271255061,High School Diploma,35000,1056,25%,3,22.56
Accounting Administrator,Finance & Banking,25,219,1577,0.138871275,Bachelor's Degree,60000,1543,25%,3,22.61
Accounting Director,Finance & Banking,25,194,1417,0.136908963,Master's Degree,120000,1203,25%,8,21.67
Accounts Payable Coordinator,Finance & Banking,25,225,1585,0.141955836,High School Diploma,35000,1137,25%,5,22.76
Acquisition Specialist,Information Technology,25,202,1427,0.141555711,Bachelor's Degree,78000,1762,25%,2,21.87
Aml Analyst,Finance & Banking,25,205,1409,0.145493258,Doctorate / PhD,130000,914,25%,3,21.88
Assistant Controller,Administrative & Office Support,25,225,1504,0.149601064,Associate Degree,40500,1178,25%,0,22.55
Banking Analyst,Finance & Banking,25,218,1530,0.14248366,Doctorate / PhD,130000,905,25%,3,22.47
Business Banker,Finance & Banking,25,209,1452,0.143939394,High School Diploma,35000,1212,25%,3,22.08
Commercial Banker,Finance & Banking,25,209,1447,0.144436766,High School Diploma,35000,1317,25%,3,22.07
Economist,General Business,25,214,1450,0.147586207,High School Diploma,35000,986,25%,3,22.18
Fund Manager,General Business,25,285,1874,0.15208111,Master's Degree,120000,1088,25%,5,24.75
Investment Banker,Finance & Banking,25,277,1869,0.148207598,High School Diploma,35000,1095,25%,3,24.57
Junior Accountant,Finance & Banking,25,282,1921,0.146798542,Bachelor's Degree,60000,1358,25%,0,24.82
Loan Originator,Finance & Banking,25,292,1940,0.150515464,High School Diploma,35000,1088,25%,3,25.06
Procurement Administrator,Administrative & Office Support,25,577,1652,0.349273608,Bachelor's Degree,60000,1308,25%,3,30.14
Senior Credit Analyst,Information Technology,25,571,1601,0.356652092,Doctorate / PhD,130000,1238,25%,3,29.95
Treasurer,General Business,25,417,1271,0.32808812,High School Diploma,35000,995,25%,3,26.28
Trust Officer,Administrative & Office Support,25,426,1258,0.33863275,Master's Degree,120000,1065,25%,8,26.47
Cancer Registrar,General Business,25,179,1323,0.135298564,High School Diploma,35000,966,25%,3,21.1
Clinical Liaison,Healthcare,25,221,1520,0.145394737,High School Diploma,35000,1628,25%,3,22.51
Pattern Maker,General Business,25,194,1674,0.115890084,High School Diploma,35000,969,25%,3,22.37
Product Design Engineer,Information Technology,25,260,1939,0.134089737,Bachelor's Degree,78000,1711,25%,3,24.43
Stock Clerk,Administrative & Office Support,25,151,1036,0.145752896,High School Diploma,31500,1040,25%,0,19.79
Center Manager,General Business,25,209,1542,0.135538262,Master's Degree,120000,1177,25%,5,22.31
Transportation Supervisor,General Business,25,179,1419,0.126145173,High School Diploma,35000,979,25%,5,21.35
Warehouse Assistant,Administrative & Office Support,25,167,1187,0.140690817,Associate Degree,40500,1031,25%,0,20.5
DBA,General Business,25,172,1322,0.1301059,High School Diploma,35000,1093,25%,3,20.95
Chief Development Officer,Administrative & Office Support,25,180,1347,0.13363029,Master's Degree,120000,1016,25%,8,21.19
Business Director,General Business,25,186,1358,0.136966127,Master's Degree,120000,1015,25%,8,21.35
Dermatology Nurse Practitioner,Information Technology,25,137,1167,0.11739503,High School Diploma,35000,1403,25%,3,19.77
Budtender,General Business,25,122,980,0.124489796,High School Diploma,35000,1090,25%,3,18.96
Manufacturing Manager,General Business,25,194,1364,0.142228739,Master's Degree,120000,1078,25%,5,21.53
Kitchen Designer,Information Technology,25,219,1889,0.115934357,Bachelor's Degree,60000,1674,25%,3,23.49
Chief Nursing Officer,Healthcare,25,174,1334,0.130434783,Master's Degree,120000,1809,25%,8,21.02
Director Of Radiology,Healthcare,25,152,1122,0.135472371,Master's Degree,120000,2152,25%,8,20.01
Health Unit Coordinator,Information Technology,25,197,1531,0.128674069,High School Diploma,35000,1380,25%,5,22.03
Hospital Director,Information Technology,25,164,1291,0.127033308,Master's Degree,120000,1618,25%,8,20.69
Social Work Case Manager,General Business,25,199,1530,0.130065359,Master's Degree,120000,1156,25%,5,22.07
Information Officer,Administrative & Office Support,25,208,1454,0.143053645,Master's Degree,120000,1160,25%,8,22.06
Interaction Designer,Architecture & Engineering,25,271,2044,0.13258317,Bachelor's Degree,60000,1112,25%,3,24.95
Corporate Recruiter,Information Technology,25,222,1472,0.150815217,High School Diploma,35000,1477,25%,3,22.41
Assistant Front Office Manager,Administrative & Office Support,25,213,1552,0.137242268,Master's Degree,120000,1001,25%,0,22.42
Facilities Director,Information Technology,25,171,1283,0.133281372,Master's Degree,120000,1716,25%,8,20.83
Operations Team Leader,General Business,25,193,1460,0.132191781,Master's Degree,80000,1028,25%,5,21.76
Transportation Planner,Architecture & Engineering,25,188,1413,0.133050248,High School Diploma,35000,992,25%,3,21.53
Screen Printer,General Business,25,197,1708,0.115339578,High School Diploma,35000,911,25%,3,22.52
Warehouse Coordinator,Logistics & Supply Chain,25,177,1198,0.147746244,High School Diploma,31500,1097,25%,5,20.76
District Manager,General Business,25,198,1529,0.129496403,Master's Degree,120000,1189,25%,5,22.05
Economic Analyst,Finance & Banking,25,206,1401,0.14703783,Doctorate / PhD,130000,897,25%,3,21.89
Employee Relations Manager,General Business,25,212,1356,0.156342183,Master's Degree,120000,1105,25%,5,21.91
Field Manager,General Business,25,220,1459,0.150788211,Master's Degree,120000,1035,25%,5,22.33
Field Sales Manager,Sales & Marketing,25,222,1454,0.152682256,Master's Degree,120000,1094,25%,5,22.36
Food Service Manager,General Business,25,222,1505,0.147508306,Master's Degree,120000,1142,25%,5,22.49
Franchise Manager,General Business,25,229,1480,0.15472973,Master's Degree,120000,1160,25%,5,22.57
General Manager,General Business,25,231,1484,0.155660377,Master's Degree,120000,1125,25%,5,22.63
Human Resources Manager,General Business,25,297,1994,0.148946841,Master's Degree,120000,997,25%,5,25.31
Key Account Manager,Finance & Banking,25,310,2020,0.153465347,Master's Degree,120000,1364,25%,5,25.63
Labor Relations Manager,Manufacturing & Labor,25,237,1714,0.138273046,Master's Degree,120000,710,25%,5,23.35
Learning And Development Manager,General Business,25,312,2046,0.152492669,Master's Degree,120000,1091,25%,5,25.75
National Account Manager,Finance & Banking,25,194,1208,0.160596026,Master's Degree,120000,1291,25%,5,21.17
Operations Manager,General Business,25,232,1461,0.158795346,Master's Degree,120000,1094,25%,5,22.59
Policy Analyst,Finance & Banking,25,240,2019,0.118870728,Doctorate / PhD,130000,931,25%,3,24.28
Press Secretary,Administrative & Office Support,25,241,1950,0.123589744,High School Diploma,35000,912,25%,3,24.09
Program Manager,General Business,24,276,2003,0.13779331,Master's Degree,120000,1086,24%,5,24.43
Public Relations Manager,General Business,24,291,2380,0.122268908,Master's Degree,120000,1070,24%,5,25.82
Real Estate Manager,General Business,24,272,2354,0.115548003,Master's Degree,120000,1130,24%,5,25.39
Regional Operations Manager,General Business,24,254,1877,0.135322323,Master's Degree,120000,1178,24%,5,23.64
Regional Sales Director,Sales & Marketing,24,270,1942,0.139031926,Master's Degree,120000,1216,24%,8,24.14
Regulatory Affairs Manager,General Business,24,259,1843,0.140531742,Master's Degree,120000,1094,24%,5,23.65
Sales Manager,Sales & Marketing,23,293,1997,0.14672008,Master's Degree,120000,1154,23%,5,24.24
Senior Operations Manager,General Business,23,260,1861,0.139709833,Master's Degree,120000,1135,23%,5,23.22
Tour Manager,General Business,22,192,1442,0.133148405,Master's Degree,120000,1092,22%,5,20.19
Unit Manager,Information Technology,22,182,1386,0.131313131,Master's Degree,120000,1796,22%,5,19.83
Validation Manager,General Business,22,174,1326,0.131221719,Master's Degree,120000,1035,22%,5,19.5
Vice President Of Sales,Sales & Marketing,22,202,1458,0.138545953,High School Diploma,35000,1001,22%,3,20.44
Car Dealer,General Business,22,5,20,0.25,High School Diploma,35000,1087,22%,3,13.64
Distribution Supervisor,Logistics & Supply Chain,22,8,57,0.140350877,High School Diploma,35000,1003,22%,5,12.72
Jewelry Consultant,General Business,22,155,1189,0.130361648,Master's Degree,80000,1086,22%,3,18.74
Licensed Customs Broker,General Business,22,167,1252,0.133386581,High School Diploma,35000,1077,22%,3,19.16
Sales Coach,Sales & Marketing,22,285,1996,0.142785571,High School Diploma,35000,1203,22%,3,23.58
Sales Director,Sales & Marketing,22,296,2158,0.137164041,Master's Degree,120000,1274,22%,8,24.26
Sales Supervisor,Sales & Marketing,22,295,2169,0.136007377,High School Diploma,35000,1151,22%,5,24.27
Technical Sales,Information Technology,22,382,2377,0.160706773,High School Diploma,35000,1637,22%,3,26.51
Technical Sales Representative,Information Technology,22,198,1424,0.139044944,High School Diploma,35000,1548,22%,3,20.27
Technology Sales,Information Technology,22,197,1447,0.136143746,High School Diploma,35000,1547,22%,3,20.31
Territory Sales Representative,Information Technology,22,188,1395,0.134767025,High School Diploma,35000,1371,22%,3,19.98
Wine Sales Representative,Sales & Marketing,22,171,1321,0.129447388,High School Diploma,35000,1127,22%,3,19.42
Nurse Extern,General Business,21,133,771,0.172503243,High School Diploma,35000,1058,21%,3,16.86
Private Duty Nurse,General Business,21,114,1168,0.09760274,High School Diploma,35000,1038,21%,3,17.24
Student Nurse,General Business,21,81,378,0.214285714,High School Diploma,35000,980,21%,3,15.15
Category Manager,General Business,21,6,46,0.130434783,Master's Degree,120000,1069,21%,5,12.05
Implementation Manager,General Business,20,291,1948,0.149383984,Master's Degree,120000,1062,20%,5,22.57
Linguist,General Business,20,179,1299,0.137798306,High School Diploma,35000,1012,20%,3,18.54
Safety Technician,Information Technology,20,130,1135,0.114537445,Associate Degree,45000,1791,20%,2,17.03
Trainee,General Business,20,180,1399,0.128663331,High School Diploma,35000,961,20%,0,18.82
Chief Engineer,Information Technology,20,6,46,0.130434783,Master's Degree,120000,1525,20%,3,11.55
Cisco Voice Engineer,Information Technology,20,6,46,0.130434783,Bachelor's Degree,78000,1888,20%,3,11.55
City Engineer,Information Technology,20,6,46,0.130434783,Bachelor's Degree,78000,1825,20%,3,11.55
Civil Project Engineer,Information Technology,20,6,46,0.130434783,Bachelor's Degree,78000,1810,20%,3,11.55
Civil Structural Engineer,Information Technology,20,6,46,0.130434783,Bachelor's Degree,78000,1658,20%,3,11.55
Construction Engineer,Information Technology,20,6,42,0.142857143,Bachelor's Degree,78000,1862,20%,3,11.66
Corrosion Engineer,Information Technology,20,5,40,0.125,Bachelor's Degree,78000,1633,20%,3,11.46
Distribution Center Supervisor,Logistics & Supply Chain,20,9,60,0.15,High School Diploma,35000,1007,20%,5,11.84
Electrical Engineering,Information Technology,20,163,1181,0.138018628,Bachelor's Degree,78000,1880,20%,3,17.9
Engineering Consultant,Information Technology,20,184,1269,0.14499606,Master's Degree,104000,1660,20%,3,18.58
Engineering Program Manager,Information Technology,20,194,1364,0.142228739,Master's Degree,120000,1544,20%,3,19.03
Entry Level Mechanical Engineer,Information Technology,20,156,1138,0.137082601,Bachelor's Degree,78000,1868,20%,0,17.64
Fire Protection Engineer,Information Technology,20,141,1086,0.129834254,Bachelor's Degree,78000,1827,20%,3,17.16
Geotechnical Engineer,Information Technology,20,156,1150,0.135652174,Bachelor's Degree,78000,1935,20%,3,17.67
Highway Engineer,Information Technology,20,147,1005,0.146268657,Bachelor's Degree,78000,1931,20%,3,17.13
Industrial Designer,Architecture & Engineering,20,179,1583,0.113076437,Bachelor's Degree,60000,1202,20%,3,19.3
Junior Mechanical Engineer,Information Technology,20,153,1112,0.137589928,Bachelor's Degree,78000,1855,20%,0,17.51
